Object_Image,Tag,image_main_subject,inception_Date,Category
Bruce Museum of Arts and Science,"museum in Greenwich, Connecticut",http://commons.wikimedia.org/wiki/Special:FilePath/GreenwichCTBruceMuseumEntrance09212007.JPG,1912-01-01T00:00:00Z,illustration
Yale University Art Gallery,"art museum in New Haven, Connecticut",http://commons.wikimedia.org/wiki/Special:FilePath/Yale%20University%20Art%20Gallery%20exterior.jpg,1832-01-01T00:00:00Z,illustration
Denver Art Museum,"museum in Denver, Colorado, United States",http://commons.wikimedia.org/wiki/Special:FilePath/Denver%20art%20museum%20night%20archipreneur%20adam%20crain.jpg,1893-01-01T00:00:00Z,illustration
The Oyster Meal,painting by Jacob Ochtervelt looted by Nazis in WWII,http://commons.wikimedia.org/wiki/Special:FilePath/Les%20Hu%C3%AEtres%20-%20Jacob%20Ochtervelt.jpg,1664-01-01T00:00:00Z,illustration
United States Department of Homeland Security,United States federal department,http://commons.wikimedia.org/wiki/Special:FilePath/DHS%20Secretary%20Alejandro%20Mayorkas%20Flag%20Raising%20Ceremony%20%2850914852532%29.jpg,2002-11-25T00:00:00Z,illustration
Flowers in a Wan-Li Vase,painting by Balthasar van der Ast in Aachen,http://commons.wikimedia.org/wiki/Special:FilePath/Balthasar%20van%20der%20Ast%20-%20Flowers%20in%20a%20Wan-Li%20Vase.jpg,1620-01-01T00:00:00Z,illustration
Portrait of Fräulein Lieser,painting by Gustav Klimt (1917),http://commons.wikimedia.org/wiki/Special:FilePath/Gustav%20Klimt%20Fr%C3%A4ulein%20Lieser.jpg,1917-01-01T00:00:00Z,illustration
Sotheby's,auction house,http://commons.wikimedia.org/wiki/Special:FilePath/Sotheby%27s%20%2851921999492%29.jpg,1744-01-01T00:00:00Z,illustration
Norton Simon Museum,"art museum in Pasadena, California",http://commons.wikimedia.org/wiki/Special:FilePath/Norton%20Simon%20Lobby.JPG,1942-01-01T00:00:00Z,illustration
Belvedere,"museum housed in the Belvedere palace, in Vienna, Austria",http://commons.wikimedia.org/wiki/Special:FilePath/Wien%20-%20Schloss%20Belvedere%2C%20oberes%20%281%29.JPG,1907-01-01T00:00:00Z,illustration
Christie's,art business and fine arts auction house,http://commons.wikimedia.org/wiki/Special:FilePath/ChristiesNewYork.JPG,1766-01-01T00:00:00Z,illustration
The Marketplace at Pirna,"painting by Bernardo Bellotto (Museum of Fine Arts, Houston)",http://commons.wikimedia.org/wiki/Special:FilePath/Bernardo%20Bellotto%20-%20The%20Marketplace%20at%20Pirna%20-%2061.71%20-%20Museum%20of%20Fine%20Arts.jpg,1764-01-01T00:00:00Z,illustration
Tate,art institution in the United Kingdom,http://commons.wikimedia.org/wiki/Special:FilePath/Tate%20Britain%20%285822081512%29%20%282%29.jpg,1897-01-01T00:00:00Z,illustration
National Gallery,"art museum in London, England",http://commons.wikimedia.org/wiki/Special:FilePath/Galer%C3%ADa%20Nacional%2C%20Londres%2C%20Inglaterra%2C%202014-08-07%2C%20DD%20036.JPG,1824-01-01T00:00:00Z,illustration
Olive Picking,painting by Vincent van Gogh (1889),http://commons.wikimedia.org/wiki/Special:FilePath/Van%20Gogh%20-%20Olivenpfl%C3%BCcker2.jpeg,1889-12-01T00:00:00Z,illustration
National Gallery of Victoria,"art museum in Melbourne, Australia",http://commons.wikimedia.org/wiki/Special:FilePath/National%20Gallery%20of%20Victoria%20from%20Eurkea%20Tower.jpg,1861-01-01T00:00:00Z,illustration
