Wikidata Item owned,Item owned,Wikidata Owner,Owner name,owner Description,Owner Status,Proveana,GND
http://www.wikidata.org/entity/Q17324041,Portrait of a Man,http://www.wikidata.org/entity/Q329815,Abraham Bredius,"Dutch art collector, art historian, and museum curator (1855–1946)",ALIU Red Flag,,
http://www.wikidata.org/entity/Q17323954,Vanitas still life,http://www.wikidata.org/entity/Q329815,Abraham Bredius,"Dutch art collector, art historian, and museum curator (1855–1946)",ALIU Red Flag,,
http://www.wikidata.org/entity/Q52721422,Peasants at an Inn,http://www.wikidata.org/entity/Q329815,Abraham Bredius,"Dutch art collector, art historian, and museum curator (1855–1946)",ALIU Red Flag,,
http://www.wikidata.org/entity/Q17323977,Still life with fish,http://www.wikidata.org/entity/Q329815,Abraham Bredius,"Dutch art collector, art historian, and museum curator (1855–1946)",ALIU Red Flag,,
http://www.wikidata.org/entity/Q17324106,Landscape with herdsman and their droves,http://www.wikidata.org/entity/Q329815,Abraham Bredius,"Dutch art collector, art historian, and museum curator (1855–1946)",ALIU Red Flag,,
http://www.wikidata.org/entity/Q17275980,Beach View,http://www.wikidata.org/entity/Q329815,Abraham Bredius,"Dutch art collector, art historian, and museum curator (1855–1946)",ALIU Red Flag,,
http://www.wikidata.org/entity/Q17324039,"Portrait of a woman, probably Sophia Anna van Pipenpoy (c. 1618-70), Countess of Schellart",http://www.wikidata.org/entity/Q329815,Abraham Bredius,"Dutch art collector, art historian, and museum curator (1855–1946)",ALIU Red Flag,,
http://www.wikidata.org/entity/Q17323371,A musical company,http://www.wikidata.org/entity/Q329815,Abraham Bredius,"Dutch art collector, art historian, and museum curator (1855–1946)",ALIU Red Flag,,
http://www.wikidata.org/entity/Q17323976,"Virgin and Child Enthroned with Four Saints, Saints John the Baptist, Antony Abbot, Elizabeth of Hungary, a female saint",http://www.wikidata.org/entity/Q329815,Abraham Bredius,"Dutch art collector, art historian, and museum curator (1855–1946)",ALIU Red Flag,,
http://www.wikidata.org/entity/Q17324132,Vanitas still life,http://www.wikidata.org/entity/Q329815,Abraham Bredius,"Dutch art collector, art historian, and museum curator (1855–1946)",ALIU Red Flag,,
http://www.wikidata.org/entity/Q17324035,The peasant's misfortune,http://www.wikidata.org/entity/Q329815,Abraham Bredius,"Dutch art collector, art historian, and museum curator (1855–1946)",ALIU Red Flag,,
http://www.wikidata.org/entity/Q11710021,Homer,http://www.wikidata.org/entity/Q329815,Abraham Bredius,"Dutch art collector, art historian, and museum curator (1855–1946)",ALIU Red Flag,,
http://www.wikidata.org/entity/Q4211284,The Stone Bridge,http://www.wikidata.org/entity/Q329815,Abraham Bredius,"Dutch art collector, art historian, and museum curator (1855–1946)",ALIU Red Flag,,
http://www.wikidata.org/entity/Q17322890,Poultry Merchant,http://www.wikidata.org/entity/Q329815,Abraham Bredius,"Dutch art collector, art historian, and museum curator (1855–1946)",ALIU Red Flag,,
http://www.wikidata.org/entity/Q17324040,"Portraits of two boys in a landscape, one dressed as a hunter, the other as St. John the Baptist",http://www.wikidata.org/entity/Q329815,Abraham Bredius,"Dutch art collector, art historian, and museum curator (1855–1946)",ALIU Red Flag,,
http://www.wikidata.org/entity/Q17323381,Couples making love at a country inn,http://www.wikidata.org/entity/Q329815,Abraham Bredius,"Dutch art collector, art historian, and museum curator (1855–1946)",ALIU Red Flag,,
http://www.wikidata.org/entity/Q17323363,Landscape with a watermill,http://www.wikidata.org/entity/Q329815,Abraham Bredius,"Dutch art collector, art historian, and museum curator (1855–1946)",ALIU Red Flag,,
http://www.wikidata.org/entity/Q17324157,The legates of Alexander the Great investing the gardener Abdalonymus with the insignia of the kingship of Sidon,http://www.wikidata.org/entity/Q329815,Abraham Bredius,"Dutch art collector, art historian, and museum curator (1855–1946)",ALIU Red Flag,,
http://www.wikidata.org/entity/Q17324131,Mountainous landscape with river valley and castles,http://www.wikidata.org/entity/Q329815,Abraham Bredius,"Dutch art collector, art historian, and museum curator (1855–1946)",ALIU Red Flag,,
http://www.wikidata.org/entity/Q17324224,Virgin and Child with St Anne,http://www.wikidata.org/entity/Q329815,Abraham Bredius,"Dutch art collector, art historian, and museum curator (1855–1946)",ALIU Red Flag,,
http://www.wikidata.org/entity/Q29395275,The Angel Raphael and the Demon,http://www.wikidata.org/entity/Q329815,Abraham Bredius,"Dutch art collector, art historian, and museum curator (1855–1946)",ALIU Red Flag,,
http://www.wikidata.org/entity/Q17324130,Portrait of a Woman,http://www.wikidata.org/entity/Q329815,Abraham Bredius,"Dutch art collector, art historian, and museum curator (1855–1946)",ALIU Red Flag,,
http://www.wikidata.org/entity/Q46858113,Artist in his Workshop,http://www.wikidata.org/entity/Q329815,Abraham Bredius,"Dutch art collector, art historian, and museum curator (1855–1946)",ALIU Red Flag,,
http://www.wikidata.org/entity/Q17342842,Still life with hunting implements,http://www.wikidata.org/entity/Q329815,Abraham Bredius,"Dutch art collector, art historian, and museum curator (1855–1946)",ALIU Red Flag,,
http://www.wikidata.org/entity/Q17324362,Galatea and Acis,http://www.wikidata.org/entity/Q329815,Abraham Bredius,"Dutch art collector, art historian, and museum curator (1855–1946)",ALIU Red Flag,,
http://www.wikidata.org/entity/Q17324374,"View of Haarlem from across the Spaarne, near the Eendjespoort",http://www.wikidata.org/entity/Q329815,Abraham Bredius,"Dutch art collector, art historian, and museum curator (1855–1946)",ALIU Red Flag,,
http://www.wikidata.org/entity/Q17324361,Hilly landscape,http://www.wikidata.org/entity/Q329815,Abraham Bredius,"Dutch art collector, art historian, and museum curator (1855–1946)",ALIU Red Flag,,
http://www.wikidata.org/entity/Q17324291,Christ blessing the children,http://www.wikidata.org/entity/Q329815,Abraham Bredius,"Dutch art collector, art historian, and museum curator (1855–1946)",ALIU Red Flag,,
http://www.wikidata.org/entity/Q17324288,The archangel Gabriel appearing to Zacharias,http://www.wikidata.org/entity/Q329815,Abraham Bredius,"Dutch art collector, art historian, and museum curator (1855–1946)",ALIU Red Flag,,
http://www.wikidata.org/entity/Q116764753,"Portrait of an unknown man, 1651",http://www.wikidata.org/entity/Q329815,Abraham Bredius,"Dutch art collector, art historian, and museum curator (1855–1946)",ALIU Red Flag,,
http://www.wikidata.org/entity/Q17324367,Sts Paul and Barnabas worshipped as gods by the people of Lystra,http://www.wikidata.org/entity/Q329815,Abraham Bredius,"Dutch art collector, art historian, and museum curator (1855–1946)",ALIU Red Flag,,
http://www.wikidata.org/entity/Q17324397,The ascension of Elijah,http://www.wikidata.org/entity/Q329815,Abraham Bredius,"Dutch art collector, art historian, and museum curator (1855–1946)",ALIU Red Flag,,
http://www.wikidata.org/entity/Q17324290,Still Life with Fish and Fruit,http://www.wikidata.org/entity/Q329815,Abraham Bredius,"Dutch art collector, art historian, and museum curator (1855–1946)",ALIU Red Flag,,
http://www.wikidata.org/entity/Q63433720,Portrait of a gentleman,http://www.wikidata.org/entity/Q329815,Abraham Bredius,"Dutch art collector, art historian, and museum curator (1855–1946)",ALIU Red Flag,,
http://www.wikidata.org/entity/Q17324301,Animals and plants,http://www.wikidata.org/entity/Q329815,Abraham Bredius,"Dutch art collector, art historian, and museum curator (1855–1946)",ALIU Red Flag,,
http://www.wikidata.org/entity/Q21891700,Saskia before a mirror,http://www.wikidata.org/entity/Q329815,Abraham Bredius,"Dutch art collector, art historian, and museum curator (1855–1946)",ALIU Red Flag,,
http://www.wikidata.org/entity/Q21890525,Portrait of a Girl,http://www.wikidata.org/entity/Q329815,Abraham Bredius,"Dutch art collector, art historian, and museum curator (1855–1946)",ALIU Red Flag,,
http://www.wikidata.org/entity/Q17324350,Pharaoh's daughter discovers Moses in the rush basket,http://www.wikidata.org/entity/Q329815,Abraham Bredius,"Dutch art collector, art historian, and museum curator (1855–1946)",ALIU Red Flag,,
http://www.wikidata.org/entity/Q17339629,Self-portrait,http://www.wikidata.org/entity/Q329815,Abraham Bredius,"Dutch art collector, art historian, and museum curator (1855–1946)",ALIU Red Flag,,
http://www.wikidata.org/entity/Q17324404,Kitchen Scene,http://www.wikidata.org/entity/Q329815,Abraham Bredius,"Dutch art collector, art historian, and museum curator (1855–1946)",ALIU Red Flag,,
http://www.wikidata.org/entity/Q21808563,Raising of the Cross,http://www.wikidata.org/entity/Q329815,Abraham Bredius,"Dutch art collector, art historian, and museum curator (1855–1946)",ALIU Red Flag,,
http://www.wikidata.org/entity/Q17324289,"Still Life with Earthenware Jar, Fish and Fruit",http://www.wikidata.org/entity/Q329815,Abraham Bredius,"Dutch art collector, art historian, and museum curator (1855–1946)",ALIU Red Flag,,
http://www.wikidata.org/entity/Q17324326,Rest on the flight to Egypt,http://www.wikidata.org/entity/Q329815,Abraham Bredius,"Dutch art collector, art historian, and museum curator (1855–1946)",ALIU Red Flag,,
http://www.wikidata.org/entity/Q17324276,Still life with flowers in a Wan-li vase,http://www.wikidata.org/entity/Q329815,Abraham Bredius,"Dutch art collector, art historian, and museum curator (1855–1946)",ALIU Red Flag,,
http://www.wikidata.org/entity/Q17324351,"The convent of St. Agnes, Utrecht",http://www.wikidata.org/entity/Q329815,Abraham Bredius,"Dutch art collector, art historian, and museum curator (1855–1946)",ALIU Red Flag,,
http://www.wikidata.org/entity/Q21979606,Praying Woman,http://www.wikidata.org/entity/Q329815,Abraham Bredius,"Dutch art collector, art historian, and museum curator (1855–1946)",ALIU Red Flag,,
http://www.wikidata.org/entity/Q17324254,An inn in the neighborhood of Nantes,http://www.wikidata.org/entity/Q329815,Abraham Bredius,"Dutch art collector, art historian, and museum curator (1855–1946)",ALIU Red Flag,,
http://www.wikidata.org/entity/Q119238270,"St. Francis of Paola Holding a Rosary, Book, and Staff",http://www.wikidata.org/entity/Q104544920,Adele Fischel,"Viennese Holocaust victim, and art collector b. 1875-05-09 - 1943",Holocaust victim,,
http://www.wikidata.org/entity/Q64591912,Adolph Menzel,http://www.wikidata.org/entity/Q105455262,Adele Paechter,"German Jewish art collector, holocaust victim (1857-1943)",Holocaust victim,,
http://www.wikidata.org/entity/Q18683027,Armor Chamber Fantasy,http://www.wikidata.org/entity/Q105455262,Adele Paechter,"German Jewish art collector, holocaust victim (1857-1943)",Holocaust victim,,
http://www.wikidata.org/entity/Q47002464,Kunstversteigerungshaus Adolf Weinmüller,http://www.wikidata.org/entity/Q15428510,Adolf Weinmüller,German art dealer and Nazi party member who trafficked in looted art (1886-1958),ALIU Red Flag,act10001186,117269735
http://www.wikidata.org/entity/Q111651062,Assault of Carthago,http://www.wikidata.org/entity/Q116122443,Agathe Saulmann,German Jewish pilot and art collector (1898-1951),Holocaust Aryanization or art restitution case link,,
http://www.wikidata.org/entity/Q24058031,Odalisque,http://www.wikidata.org/entity/Q126911986,Albert Abraham Stern,German Jewish clothing manufacturer and art collector killed in the Holocaust (1864-1945),Holocaust victim,,
http://www.wikidata.org/entity/Q2329069,Stahlwerke Bochum,http://www.wikidata.org/entity/Q2638539,Albert Ottenheimer,German Jewish entrepreneur and art collector (1886-1985),Holocaust Aryanization or art restitution case link,,
http://www.wikidata.org/entity/Q19883487,Strawberries,http://www.wikidata.org/entity/Q117451,Albert Skira,Swiss magazine publisher and art dealer (1904-1973),ALIU Red Flag,,
http://www.wikidata.org/entity/Q20173720,Madonna and Child with Angels,http://www.wikidata.org/entity/Q3609940,Alessandro Contini Bonacossi,"Italian art collector, dealer and politician (1878-1955)",ALIU Red Flag,,
http://www.wikidata.org/entity/Q18545686,Landscape with Figures,http://www.wikidata.org/entity/Q3609940,Alessandro Contini Bonacossi,"Italian art collector, dealer and politician (1878-1955)",ALIU Red Flag,,
http://www.wikidata.org/entity/Q118867688,Saint Sebastian,http://www.wikidata.org/entity/Q3609940,Alessandro Contini Bonacossi,"Italian art collector, dealer and politician (1878-1955)",ALIU Red Flag,,
http://www.wikidata.org/entity/Q104601350,Saint Martin and the Beggar,http://www.wikidata.org/entity/Q3609940,Alessandro Contini Bonacossi,"Italian art collector, dealer and politician (1878-1955)",ALIU Red Flag,,
http://www.wikidata.org/entity/Q16621915,St Dominic in Prayer,http://www.wikidata.org/entity/Q3609940,Alessandro Contini Bonacossi,"Italian art collector, dealer and politician (1878-1955)",ALIU Red Flag,,
http://www.wikidata.org/entity/Q3761425,Infant Savior,http://www.wikidata.org/entity/Q3609940,Alessandro Contini Bonacossi,"Italian art collector, dealer and politician (1878-1955)",ALIU Red Flag,,
http://www.wikidata.org/entity/Q20175626,Madonna Adoring the Child,http://www.wikidata.org/entity/Q3609940,Alessandro Contini Bonacossi,"Italian art collector, dealer and politician (1878-1955)",ALIU Red Flag,,
http://www.wikidata.org/entity/Q80576687,Nativity,http://www.wikidata.org/entity/Q3609940,Alessandro Contini Bonacossi,"Italian art collector, dealer and politician (1878-1955)",ALIU Red Flag,,
http://www.wikidata.org/entity/Q116985325,Saint Peter Martyr,http://www.wikidata.org/entity/Q3609940,Alessandro Contini Bonacossi,"Italian art collector, dealer and politician (1878-1955)",ALIU Red Flag,,
http://www.wikidata.org/entity/Q3463679,Saint Bartholomew,http://www.wikidata.org/entity/Q3609940,Alessandro Contini Bonacossi,"Italian art collector, dealer and politician (1878-1955)",ALIU Red Flag,,
http://www.wikidata.org/entity/Q28042986,The Nativity with Shepherds,http://www.wikidata.org/entity/Q3609940,Alessandro Contini Bonacossi,"Italian art collector, dealer and politician (1878-1955)",ALIU Red Flag,,
http://www.wikidata.org/entity/Q20177080,Lady with a Fan,http://www.wikidata.org/entity/Q3609940,Alessandro Contini Bonacossi,"Italian art collector, dealer and politician (1878-1955)",ALIU Red Flag,,
http://www.wikidata.org/entity/Q20202622,Portrait of a Lady with Her Daughter,http://www.wikidata.org/entity/Q3609940,Alessandro Contini Bonacossi,"Italian art collector, dealer and politician (1878-1955)",ALIU Red Flag,,
http://www.wikidata.org/entity/Q117005860,Portrait of a Gentleman,http://www.wikidata.org/entity/Q3609940,Alessandro Contini Bonacossi,"Italian art collector, dealer and politician (1878-1955)",ALIU Red Flag,,
http://www.wikidata.org/entity/Q85523581,Portrait of a young woman,http://www.wikidata.org/entity/Q3609940,Alessandro Contini Bonacossi,"Italian art collector, dealer and politician (1878-1955)",ALIU Red Flag,,
http://www.wikidata.org/entity/Q116993372,Saint Catherine of Alexandria,http://www.wikidata.org/entity/Q3609940,Alessandro Contini Bonacossi,"Italian art collector, dealer and politician (1878-1955)",ALIU Red Flag,,
http://www.wikidata.org/entity/Q16590359,Manusso Theotokopoulos,http://www.wikidata.org/entity/Q3609940,Alessandro Contini Bonacossi,"Italian art collector, dealer and politician (1878-1955)",ALIU Red Flag,,
http://www.wikidata.org/entity/Q117041748,St John the Baptist in the desert,http://www.wikidata.org/entity/Q3609940,Alessandro Contini Bonacossi,"Italian art collector, dealer and politician (1878-1955)",ALIU Red Flag,,
http://www.wikidata.org/entity/Q116993384,Saint Jerome,http://www.wikidata.org/entity/Q3609940,Alessandro Contini Bonacossi,"Italian art collector, dealer and politician (1878-1955)",ALIU Red Flag,,
http://www.wikidata.org/entity/Q104772137,Tears of Saint Peter,http://www.wikidata.org/entity/Q3609940,Alessandro Contini Bonacossi,"Italian art collector, dealer and politician (1878-1955)",ALIU Red Flag,,
http://www.wikidata.org/entity/Q26691820,Christ driving the Traders from the Temple,http://www.wikidata.org/entity/Q3609940,Alessandro Contini Bonacossi,"Italian art collector, dealer and politician (1878-1955)",ALIU Red Flag,,
http://www.wikidata.org/entity/Q104963266,Annunciate Virgin,http://www.wikidata.org/entity/Q3609940,Alessandro Contini Bonacossi,"Italian art collector, dealer and politician (1878-1955)",ALIU Red Flag,,
http://www.wikidata.org/entity/Q63809481,Kneeling Angel,http://www.wikidata.org/entity/Q3609940,Alessandro Contini Bonacossi,"Italian art collector, dealer and politician (1878-1955)",ALIU Red Flag,,
http://www.wikidata.org/entity/Q5411596,The Annunciation,http://www.wikidata.org/entity/Q3609940,Alessandro Contini Bonacossi,"Italian art collector, dealer and politician (1878-1955)",ALIU Red Flag,,
http://www.wikidata.org/entity/Q21511964,Bust of a young woman,http://www.wikidata.org/entity/Q3609940,Alessandro Contini Bonacossi,"Italian art collector, dealer and politician (1878-1955)",ALIU Red Flag,,
http://www.wikidata.org/entity/Q110894430,Portrait of a Man with a Feathered Hat,http://www.wikidata.org/entity/Q3609940,Alessandro Contini Bonacossi,"Italian art collector, dealer and politician (1878-1955)",ALIU Red Flag,,
http://www.wikidata.org/entity/Q103902432,The Apostle Bartholomew (Paul),http://www.wikidata.org/entity/Q3609940,Alessandro Contini Bonacossi,"Italian art collector, dealer and politician (1878-1955)",ALIU Red Flag,,
http://www.wikidata.org/entity/Q116985089,Madonna of Humility,http://www.wikidata.org/entity/Q3609940,Alessandro Contini Bonacossi,"Italian art collector, dealer and politician (1878-1955)",ALIU Red Flag,,
http://www.wikidata.org/entity/Q63810250,Kneeling Angel,http://www.wikidata.org/entity/Q3609940,Alessandro Contini Bonacossi,"Italian art collector, dealer and politician (1878-1955)",ALIU Red Flag,,
http://www.wikidata.org/entity/Q20173439,The Expectant Madonna with Saint Joseph,http://www.wikidata.org/entity/Q3609940,Alessandro Contini Bonacossi,"Italian art collector, dealer and politician (1878-1955)",ALIU Red Flag,,
http://www.wikidata.org/entity/Q20174241,Portrait of a Boy,http://www.wikidata.org/entity/Q3609940,Alessandro Contini Bonacossi,"Italian art collector, dealer and politician (1878-1955)",ALIU Red Flag,,
http://www.wikidata.org/entity/Q117005980,Head of an Oriental with a Grey Beard,http://www.wikidata.org/entity/Q3609940,Alessandro Contini Bonacossi,"Italian art collector, dealer and politician (1878-1955)",ALIU Red Flag,,
http://www.wikidata.org/entity/Q89874657,A portrait of a noblewoman,http://www.wikidata.org/entity/Q3609940,Alessandro Contini Bonacossi,"Italian art collector, dealer and politician (1878-1955)",ALIU Red Flag,,
http://www.wikidata.org/entity/Q77870634,Lamentation Over the Dead Christ,http://www.wikidata.org/entity/Q3609940,Alessandro Contini Bonacossi,"Italian art collector, dealer and politician (1878-1955)",ALIU Red Flag,,
http://www.wikidata.org/entity/Q111534111,Portrait of a Man as the god Mars,http://www.wikidata.org/entity/Q3609940,Alessandro Contini Bonacossi,"Italian art collector, dealer and politician (1878-1955)",ALIU Red Flag,,
http://www.wikidata.org/entity/Q117034906,Madonna and Child Enthroned,http://www.wikidata.org/entity/Q3609940,Alessandro Contini Bonacossi,"Italian art collector, dealer and politician (1878-1955)",ALIU Red Flag,,
http://www.wikidata.org/entity/Q66245041,The Disrobing of Christ. Contini Bonacossi Collection,http://www.wikidata.org/entity/Q3609940,Alessandro Contini Bonacossi,"Italian art collector, dealer and politician (1878-1955)",ALIU Red Flag,,
http://www.wikidata.org/entity/Q20173359,Joachim and Anna Giving Food to the Poor and Offerings to the Temple,http://www.wikidata.org/entity/Q3609940,Alessandro Contini Bonacossi,"Italian art collector, dealer and politician (1878-1955)",ALIU Red Flag,,
http://www.wikidata.org/entity/Q117042984,Presentation of Jesus in the Temple,http://www.wikidata.org/entity/Q3609940,Alessandro Contini Bonacossi,"Italian art collector, dealer and politician (1878-1955)",ALIU Red Flag,,
http://www.wikidata.org/entity/Q20176783,Susanna,http://www.wikidata.org/entity/Q3609940,Alessandro Contini Bonacossi,"Italian art collector, dealer and politician (1878-1955)",ALIU Red Flag,,
http://www.wikidata.org/entity/Q4011732,Fattoria di Capezzana,http://www.wikidata.org/entity/Q3609940,Alessandro Contini Bonacossi,"Italian art collector, dealer and politician (1878-1955)",ALIU Red Flag,,
http://www.wikidata.org/entity/Q19856856,St. Jerome,http://www.wikidata.org/entity/Q3609940,Alessandro Contini Bonacossi,"Italian art collector, dealer and politician (1878-1955)",ALIU Red Flag,,
http://www.wikidata.org/entity/Q79853941,The Agony in the Garden,http://www.wikidata.org/entity/Q3609940,Alessandro Contini Bonacossi,"Italian art collector, dealer and politician (1878-1955)",ALIU Red Flag,,
http://www.wikidata.org/entity/Q369350,Allegory of Virtue and Vice,http://www.wikidata.org/entity/Q3609940,Alessandro Contini Bonacossi,"Italian art collector, dealer and politician (1878-1955)",ALIU Red Flag,,
http://www.wikidata.org/entity/Q3683040,Contini Bonacossi collection,http://www.wikidata.org/entity/Q3609940,Alessandro Contini Bonacossi,"Italian art collector, dealer and politician (1878-1955)",ALIU Red Flag,,
http://www.wikidata.org/entity/Q80562037,The Holy Family,http://www.wikidata.org/entity/Q3609940,Alessandro Contini Bonacossi,"Italian art collector, dealer and politician (1878-1955)",ALIU Red Flag,,
http://www.wikidata.org/entity/Q20176207,Apollo and Marsyas,http://www.wikidata.org/entity/Q3609940,Alessandro Contini Bonacossi,"Italian art collector, dealer and politician (1878-1955)",ALIU Red Flag,,
http://www.wikidata.org/entity/Q20175381,The Madonna of the Carnation,http://www.wikidata.org/entity/Q3609940,Alessandro Contini Bonacossi,"Italian art collector, dealer and politician (1878-1955)",ALIU Red Flag,,
http://www.wikidata.org/entity/Q658825,The Clemency of Scipio,http://www.wikidata.org/entity/Q3609940,Alessandro Contini Bonacossi,"Italian art collector, dealer and politician (1878-1955)",ALIU Red Flag,,
http://www.wikidata.org/entity/Q60465928,Saint Jerome,http://www.wikidata.org/entity/Q16558664,Alessandro Morandotti,Italian art dealer (1909-1979),ALIU Red Flag,,
http://www.wikidata.org/entity/Q20881112,The Virgin Appearing to the Guardian Angel,http://www.wikidata.org/entity/Q16558664,Alessandro Morandotti,Italian art dealer (1909-1979),ALIU Red Flag,,
http://www.wikidata.org/entity/Q130442503,Ice Storm,http://www.wikidata.org/entity/Q23062739,Alex Vömel,art dealer and Nazi party member,Member of NSDAP,act10000538,172438640
http://www.wikidata.org/entity/Q12842489,A Centennial of Independence,http://www.wikidata.org/entity/Q23062739,Alex Vömel,art dealer and Nazi party member,Member of NSDAP,act10000538,172438640
http://www.wikidata.org/entity/Q67201154,Galerie Alex Vömel,http://www.wikidata.org/entity/Q23062739,Alex Vömel,art dealer and Nazi party member,Member of NSDAP,act10000538,172438640
http://www.wikidata.org/entity/Q56218992,A & R Ball Gallery,http://www.wikidata.org/entity/Q56218741,Alexander Ball,Art dealer,ALIU Red Flag,,
http://www.wikidata.org/entity/Q49416890,Picnic on a Riverbank,http://www.wikidata.org/entity/Q71987689,Alfred Daber,art dealer,ALIU Red Flag,,
http://www.wikidata.org/entity/Q20190610,The Artist's Sister and Her Children,http://www.wikidata.org/entity/Q71987689,Alfred Daber,art dealer,ALIU Red Flag,,
http://www.wikidata.org/entity/Q83507816,Les bords du loing vers Moret,http://www.wikidata.org/entity/Q71987689,Alfred Daber,art dealer,ALIU Red Flag,,
http://www.wikidata.org/entity/Q20268281,Still Life with Jug and Knife,http://www.wikidata.org/entity/Q71987689,Alfred Daber,art dealer,ALIU Red Flag,,
http://www.wikidata.org/entity/Q72853002,Alfred Daber Gallery,http://www.wikidata.org/entity/Q71987689,Alfred Daber,art dealer,ALIU Red Flag,,
http://www.wikidata.org/entity/Q105582344,Self-portrait as a clown,http://www.wikidata.org/entity/Q74128,Alfred Flechtheim,"German Jewish art dealer, persecuted by Nazis (1878-1937)",Holocaust Aryanization or art restitution case link,,
