DATE RESTITUTION or SETTLEMENT,Title,Image,Artist,Datierung,Material,Height,Provenance,Verlustgeschichte,Status,Published Since,Contact,Person,Permalink To This Page,Literature
2008,Young lady at the fountain (Jeune femme à la fontaine),LA14362_40455.jpg,"Corot, Jean-Baptiste-Camille;Birth 1796.07.17, Paris;Death 1875.02.22, Paris;Place of activity Ville-d'Avray (Hauts-de-Seine), Paris",1855/1865 (um),Canvas,64.00 cm,"01.04.1935: Mitteilung des Reichs- und Preußischen Ministers des Innern an George Behrens, dass das Bild auf die Liste nationalen Kulturgutes gesetzt wird, Juni 1938: nachgewiesen auf der Liste nationalen Kulturgutes, 13.10.1939: Bericht der Kunsthalle Hamburg, dass das Bild noch im Besitz der Familie Behrens ist, verkauft zwischen 1939 und 1941 durch Kunsthändler H. W. Lange, Kröller-Müller-Museum, Otterlo (Niederlande), 2008 restituiert;Read more;Read less","Hamburg, 1935/1945",restituted,2006,"BaBeg GmbH, Berlin Hinweise/Rückfragen Phone +49 (0) 30 6144035 info@babeg.de","Behrens, Eduard Ludwig (Sammlung)",https://www.lostart.de/en/Verlust/314193,
,Bathing woman,LA15151_40682.jpg,"Diaz de la Peña, Virgilio Narcisso;Birth 1808.08.20, Bordeaux;Death 1876.11.18, Mentone;Place of activity Paris, Fontainebleau",1862,Oil: Canvas,40.00 cm,Verkauft zwischen 1935 und 1945.;Read more;Read less,"Hamburg, 1935/1945",restituted,2006,"BaBeg GmbH, Berlin Hinweise/Rückfragen Phone +49 (0) 30 6144035 info@babeg.de","Behrens, Eduard Ludwig (Sammlung)",https://www.lostart.de/en/Verlust/317475,
2019,Wizard and Dragon / The Sorcerer,LA12775_39576.jpg,"Spitzweg, Carl;Birth 1808.02.05, München;Death 1885.09.23, München;Place of activity Pommersfelden, Benediktbeuern",,Oil: canvas / painted,47.70 cm,"Leo Bendel, Berlin, 1937 Heinemann, Munich, 1937 Private Property Bielefeld;2019 restitution to heirs;Read more;Read less","Berlin, 1937","restituted;Literature / Source;H. Wichmann In: Festschrift für Adolph Goldschmidt. Zum 60. Geburtstag am 15. Jan. 1923, Leipzig 1923, Nr. 1520;Read more;Read less",2005,Dr. Monika Tatzkow Wissenschaftlicher Dokumentationsdienst Phone +49 (0) 30 64 128 13 tatzkow@t-online.de,"Bendel, Leo und Else",https://www.lostart.de/en/Verlust/308656,"H. Wichmann In: Festschrift für Adolph Goldschmidt. Zum 60. Geburtstag am 15. Jan. 1923, Leipzig 1923, Nr. 1520;Read more"
,Felix Benjamin,LA457815_72805.jpg,"Liebermann, Max;Birth 1847.07.20, Berlin;Death 1935.02.08, Berlin;Place of activity Berlin",1921,Oil: canvas / painted,98.00 cm,"Collection Felix Benjamin, Berlin - 1933 (after), [...] - the Nazi persecution-related confiscation is suspected, since the cultural property in question was demonstrably in the possession of the victims in 1933, the exact circumstances of the loss are unclear, auction Sotheby's, New York 11.02.1981, lot 87, auction Lempertz, Cologne 04.02.2002, lot 860, since 04.02.2002 Von der Heydt-Museum, Wuppertal;Read more;Read less",,"restituted;Literature / Source;Ulrike Becks-Malorny, Von der Heydt-Museum (Hrsg.), Von der Heydt-Museum. Die Gemälde des 19. und 20. Jahrhunderts. Köln 2003. S. 215, 232f (Abb.), Antje Birthälmer, Von Der Heydt-Museum Wuppertal · Mit Kunsthalle Barmen. Neuerwerbungen. In: Wallraf-Richartz-Jahrbuch. 64(2003), S. 393-397, hier S. 394, Nicole Bröhan, Kunsthalle Würth (Hrsg.): Max Liebermann. Poesie des einfachen Lebens. Würth 2003. S. 138f., D - LAB, B Rep 025-06, WGA, Nr. 3917/55, Felix Benjamin, Blatt 36ff., Matthias Eberle: Max Liebermann. 1847 - 1935. Werkverzeichnis der Gemälde und Ölstudien. 1900 - 1935. München 1995. Kat. Nr. 1921/4, Sabine Fehlemann, Antje Birthälmer, Von der Heydt-Museum, Kunsthalle Barmen (Hrsg.), Hans Thoma (1839-1924), Max Liebermann (1847-1935), Max Slevogt (1868-1932): aus der Graphischen Sammlung des Von der Heydt-Museums. Wuppertal 2005. S. 22, Privatarchiv Benjamin, Fotografie, signiert A. Binder, Innenraum Winklerstraße 22, 1929, Sotheby's, 19th Century European Paintings. Auktion vom 11.02.1981. New York 1981. Lot 87, de.artprice.com/artist/17518/max-liebermann/gemalde/2783869/bildnis-felix-benjamin, www.lempertz.com/en/catalogues/lot/831-1/860-max-liebermann.html;Read more;Read less",13.10.2020,von Trott zu Solz Lammek Rechtsanwälte Notar Phone +49 (0) 30 59 00 33 0-0 kanzlei@vontrott-lammek.de,"Benjamin, Felix",https://www.lostart.de/en/Verlust/591927,"Ulrike Becks-Malorny, Von der Heydt-Museum (Hrsg.), Von der Heydt-Museum. Die Gemälde des 19. und 20. Jahrhunderts. Köln 2003. S. 215, 232f (Abb.), Antje Birthälmer, Von Der Heydt-Museum Wuppertal · Mit Kunsthalle Barmen. Neuerwerbungen. In: Wallraf-Richartz-Jahrbuch. 64(2003), S. 393-397, hier S. 394, Nicole Bröhan, Kunsthalle Würth (Hrsg.): Max Liebermann. Poesie des einfachen Lebens. Würth 2003. S. 138f., D - LAB, B Rep 025-06, WGA, Nr. 3917/55, Felix Benjamin, Blatt 36ff., Matthias Eberle: Max Liebermann. 1847 - 1935. Werkverzeichnis der Gemälde und Ölstudien. 1900 - 1935. München 1995. Kat. Nr. 1921/4, Sabine Fehlemann, Antje Birthälmer, Von der Heydt-Museum, Kunsthalle Barmen (Hrsg.), Hans Thoma (1839-1924), Max Liebermann (1847-1935), Max Slevogt (1868-1932): aus der Graphischen Sammlung des Von der Heydt-Museums. Wuppertal 2005. S. 22, Privatarchiv Benjamin, Fotografie, signiert A. Binder, Innenraum Winklerstraße 22, 1929, Sotheby's, 19th Century European Paintings. Auktion vom 11.02.1981. New York 1981. Lot 87, de.artprice.com/artist/17518/max-liebermann/gemalde/2783869/bildnis-felix-benjamin, www.lempertz.com/en/catalogues/lot/831-1/860-max-liebermann.html;Read more"
2012,Potato harvest,LA12176_39080.jpg,"Boehle, Fritz;Birth 1873.02.07, Emmendingen;Death 1916.10.20, Frankfurt (Main);Place of activity Frankfurt (Main)",1899,Oil: canvas / painted,150.00 cm,"Collection L. Laroche-Ringwald, Basel, 1910 auction by Eduard Schulte, Berlin, no. 16, Adolf Bensinger, Mannheim (at the latest since 1916), 28.07.1939- 22.02.1940 Estate of Adolf Bensinger, 22.02.1940 Estate auction Bensinger by Kunst- und Versteigerungshaus Dr. Fritz Nagel, Mannheim, no. 34, [...], Private property Frankfurt am Main, Frankfurter Sparkasse von 1822, Frankfurt am Main;2012 amicable settlement;Read more;Read less","Mannheim, 1940","amicable settlement;Literature / Source;Kunst- und Versteigerungshaus Dr. Fritz Nagel, Mannheim: Nachlass-Versteigerung der Gemäldesammlung sowie Einrichtung Kommerzienrat Adolf Israel Bensinger, 22.02.1940, Monika Tatzkow: ""Praktisch zertrümmert"". Die Kunstsammlung Adolf Bensinger, Mannheim, in: Christiane Fritsche, Johannes Paulmann (Hg.), „Arisierung “ und „Wiedergutmachung“ in deutschen Städten, Köln / Weimar / Wien 2014, S. 261-284;Read more;Read less",2005,Dr. Monika Tatzkow Wissenschaftlicher Dokumentationsdienst Phone +49 (0) 30 64 128 13 tatzkow@t-online.de,"Bensinger, Adolf",https://www.lostart.de/en/Verlust/306016,"Kunst- und Versteigerungshaus Dr. Fritz Nagel, Mannheim: Nachlass-Versteigerung der Gemäldesammlung sowie Einrichtung Kommerzienrat Adolf Israel Bensinger, 22.02.1940, Monika Tatzkow: ""Praktisch zertrümmert"". Die Kunstsammlung Adolf Bensinger, Mannheim, in: Christiane Fritsche, Johannes Paulmann (Hg.), „Arisierung “ und „Wiedergutmachung“ in deutschen Städten, Köln / Weimar / Wien 2014, S. 261-284;Read more"
2011,Head of a bearded man to the right,LA13543_40203.jpg,"Menzel, Adolph;Birth 1815.12.08, Breslau;Death 1905.02.09, Berlin;Place of activity Berlin",1861,"opaque paint, oil: canvas / painted",43.00 cm,"Emilie Krigar-Menzel, Berlin, Adolf Bensinger, Mannheim (from 1916 at the latest), 28.07.1939- 22.02.1940 Estate of Adolf Bensinger, 22.02.1940 Nachlass-Versteigerung Bensinger by Kunst- und Versteigerungshaus Dr. Fritz Nagel, Mannheim, No. 49, Bensinger heirs, Berlin, 1942 forced transfer to the Amt Abwehr des Oberkommandos der Wehrmacht, Berlin, [...], private property, 09.10.1997 Christie's London, No. 51, private property;2011 amicable settlement;Read more;Read less","Berlin, 1942","amicable settlement;Literature / Source;Hugo von Tschudi, Adolph Menzel, Abbildungen seiner Gemälde und Studien, München 1905, Nr. 405, Kunst- und Versteigerungshaus Dr. Fritz Nagel, Mannheim: Nachlass-Versteigerung der Gemäldesammlung sowie Einrichtung Kommerzienrat Adolf Israel Bensinger, 22.02.1940, Monika Tatzkow: ""Praktisch zertrümmert"". Die Kunstsammlung Adolf Bensinger, Mannheim, in: Christiane Fritsche, Johannes Paulmann (Hg.), „Arisierung “ und „Wiedergutmachung“ in deutschen Städten, Köln / Weimar / Wien 2014, S. 261-284;Read more;Read less",2005,Dr. Monika Tatzkow Wissenschaftlicher Dokumentationsdienst Phone +49 (0) 30 64 128 13 tatzkow@t-online.de,"Bensinger, Adolf",https://www.lostart.de/en/Verlust/306023,"Hugo von Tschudi, Adolph Menzel, Abbildungen seiner Gemälde und Studien, München 1905, Nr. 405, Kunst- und Versteigerungshaus Dr. Fritz Nagel, Mannheim: Nachlass-Versteigerung der Gemäldesammlung sowie Einrichtung Kommerzienrat Adolf Israel Bensinger, 22.02.1940, Monika Tatzkow: ""Praktisch zertrümmert"". Die Kunstsammlung Adolf Bensinger, Mannheim, in: Christiane Fritsche, Johannes Paulmann (Hg.), „Arisierung “ und „Wiedergutmachung“ in deutschen Städten, Köln / Weimar / Wien 2014, S. 261-284;Read more"
2013,woman in dorsal view with wrinkling dress,,Unknown (Italienisch),1601/1700,"charcoal, hightened with white: brown paper / drawn",19.00 cm,"Sammlung Boguslav Jolles, Dresden, 1895 Auktion Hugo Helbing, München, Sammlung Dr. Michael Berolzheimer, Garmisch-Partenkirchen, 1939 Auktion Adolf Weinmüller, München, 2013 restitution, collection Kunstverein Bremen;Read more;Read less","München, 1939",amicable settlement,09.01.2013,HCPO Holocaust Claims Processing Office claimsques@dfs.ny.gov,"Berolzheimer, Dr. Michael",https://www.lostart.de/en/Verlust/461122,
,grazing deer,LA423494_51750.jpg,Unknown (Deutsch),1801/1850,drawn,8.00 cm,"Collection Boguslav Jolles, Dresden, 1895 Hugo Helbing, München, Collection Dr. Michael Berolzheimer, Garmisch-Partenkirchen, 1939 Auction Adolf Weinmüller, Munich, restitution;Read more;Read less","München, 1939",restituted,18.06.2012,HCPO Holocaust Claims Processing Office claimsques@dfs.ny.gov,"Berolzheimer, Dr. Michael",https://www.lostart.de/en/Verlust/453951,
,boy and girl on a churchyard,,"Högg, Joseph Title boy and girl on a churchyard Object type Drawing Group of reported objects Graphic Material / Technique drawn;Height 20.50 cm;Width 15.50 cm;Description;signed lower left “J. Hg.”;Read more;Read less;Provenance;Sammlung Boguslav Jolles, Dresden, 1895 Auktion Hugo Helbing, München, Sammlung Dr. Michael Berolzheimer, Garmisch-Partenkirchen, 1939 Auktion Adolf Weinmüller, München, Restitution;Read more;Read less;Verlustgeschichte München, 1939;Status;restituted;Published since 09.01.2013",,drawn,20.50 cm,"Sammlung Boguslav Jolles, Dresden, 1895 Auktion Hugo Helbing, München, Sammlung Dr. Michael Berolzheimer, Garmisch-Partenkirchen, 1939 Auktion Adolf Weinmüller, München, Restitution;Read more;Read less","München, 1939",restituted,09.01.2013,HCPO Holocaust Claims Processing Office claimsques@dfs.ny.gov,"Berolzheimer, Dr. Michael",https://www.lostart.de/en/Verlust/461100,
2013,Tivoli vivino all Monumento della Planzia,,"Preller, Friedrich (der Ältere);Birth 1804.04.25, Eisenach;Death 1878.04.23, Weimar;Place of activity Weimar, Rom",,drawn,12.50 cm,"Sammlung Dr. Michael Berolzheimer, Garmisch-Partenkirchen, 1939 Auktion Adolf Weinmüller, München, 2013 restitution;Read more;Read less","München, 1939",restituted,09.01.2013,HCPO Holocaust Claims Processing Office claimsques@dfs.ny.gov,"Berolzheimer, Dr. Michael",https://www.lostart.de/en/Verlust/461361,
,village in the mountains,LA423457_51718.jpg,"Salathé, Friedrich;Birth 11.01.1793, Binningen (Basel);Death 12.05.1858, Paris;Place of activity Rom, Neapel, Basel, Paris",,drawn,12.50 cm,"Sammlung Boguslav Jolles, Dresden, 1895 Auktion Hugo Helbing, München, Sammlung Dr. Michael Berolzheimer, Garmisch-Partenkirchen, 1939 Auktion Adolf Weinmüller, München, Restitution;Read more;Read less","München, 1939",restituted,09.01.2013,HCPO Holocaust Claims Processing Office claimsques@dfs.ny.gov,"Berolzheimer, Dr. Michael",https://www.lostart.de/en/Verlust/461500,
,Christ' s Bearing the Cross,LA439277_54956.jpg,"Scheits, Matthias;Birth (um) 1625/1630, Hamburg;Death (um) 1700, Hamburg",,drawn,23.00 cm,"Sammlung Dr. Michael Berolzheimer, Garmisch-Partenkirchen, 9./10. März 1939 Auktion Adolf Weinmüller, München, Restitution;Read more;Read less","München, 1939",restituted,09.01.2013,HCPO Holocaust Claims Processing Office claimsques@dfs.ny.gov,"Berolzheimer, Dr. Michael",https://www.lostart.de/en/Verlust/461506,
2013,2 pictures: a) Interior of the Castle Church in Altenburg b) cathedrale of Speyer,,"Sprosse, Karl Title 2 pictures: a) Interior of the Castle Church in Altenburg b) cathedrale of Speyer Object type Drawing Group of reported objects Graphic Material / Technique drawn;Height 16.00 cm;Width 10.50 cm;Provenance;Sammlung Boguslav Jolles, Dresden, 1895 Auktion Hugo Helbing, München, Sammlung Dr. Michael Berolzheimer, Garmisch-Partenkirchen, 1939 Auktion Adolf Weinmüller, München, 2013 restitution;Read more;Read less;Verlustgeschichte München, 1939;Status;restituted;Published since 09.01.2013",,drawn,16.00 cm,"Sammlung Boguslav Jolles, Dresden, 1895 Auktion Hugo Helbing, München, Sammlung Dr. Michael Berolzheimer, Garmisch-Partenkirchen, 1939 Auktion Adolf Weinmüller, München, 2013 restitution;Read more;Read less","München, 1939",restituted,09.01.2013,HCPO Holocaust Claims Processing Office claimsques@dfs.ny.gov,"Berolzheimer, Dr. Michael",https://www.lostart.de/en/Verlust/461552,
,"St. Augustin on clouds, floating, surrounded by puttti",LA423503_51755.jpg,"Willmann, Michael Lukas Leopold (?);Birth 1630.09.27 (vor), Königsberg;Death 1706.08.26, (Kloster) Leubus;Place of activity Breslau, Prag, Berlin, (Kloster) Leubus, Grüssau",,drawn,24.50 cm,"Sammlung Boguslav Jolles, Dresden, 1895 Auktion Hugo Helbing, München, Sammlung Dr. Michael Berolzheimer, Garmisch-Partenkirchen, 1939 Auktion Adolf Weinmüller, München;Read more;Read less","München, 1939",restituted,09.01.2013,HCPO Holocaust Claims Processing Office claimsques@dfs.ny.gov,"Berolzheimer, Dr. Michael",https://www.lostart.de/en/Verlust/461641,
,Kühe am Wasser,,"Zügel, Heinrich von;Birth 1850.10.22, Murrhardt;Death 1941.01.30, München;Place of activity Stuttgart, München",,Oil: Canvas / painted,70.00 cm,"Be. i. M., 1938 Weinmüller, München, Lot 177, restituiert 1950/1960;Read more;Read less","München, 1938",restituted,15.05.2012,HCPO Holocaust Claims Processing Office claimsques@dfs.ny.gov,"Berolzheimer, Dr. Michael",https://www.lostart.de/en/Verlust/453696,
,Three horses,,"Gessner, Konrad Title Three horses Object type Watercolour Group of reported objects Graphic Material / Technique drawn;Height 22.50 cm;Width 33.00 cm;Provenance;collection Boguslav Jolles, Dresden, 1895 auction Hugo Helbing, Munich, collection Dr. Michael Berolzheimer, Garmisch-Partenkirchen, 1939 auction Adolf Weinmüller, Munich;restitution;Read more;Read less;Status;restituted;Published since 13.11.2012",,drawn,22.50 cm,"collection Boguslav Jolles, Dresden, 1895 auction Hugo Helbing, Munich, collection Dr. Michael Berolzheimer, Garmisch-Partenkirchen, 1939 auction Adolf Weinmüller, Munich;restitution;Read more;Read less",,restituted,13.11.2012,HCPO Holocaust Claims Processing Office claimsques@dfs.ny.gov,"Berolzheimer, Dr. Michael",https://www.lostart.de/en/Verlust/460638,
2020,study of a group of figures,,"Reinhart, Johann Christian Title study of a group of figures Object type Drawing Group of reported objects Graphic Material / Technique pen & ink / drawn;Height 31.00 cm;Width 19.50 cm;Description;double-sided, signed “C. Reinhart inv. 1782”;Read more;Read less;Provenance;Collection Dr. Michael Berolzheimer, Garmisch-Partenkirchen, 9-10 March 1939 Auktion Adolf Weinmüller, Munich;2020 restitution;Read more;Read less;Verlustgeschichte München, 1939;Status;restituted;Published since 09.01.2013",,pen & ink / drawn,31.00 cm,"Collection Dr. Michael Berolzheimer, Garmisch-Partenkirchen, 9-10 March 1939 Auktion Adolf Weinmüller, Munich;2020 restitution;Read more;Read less","München, 1939",restituted,09.01.2013,HCPO Holocaust Claims Processing Office claimsques@dfs.ny.gov,"Berolzheimer, Dr. Michael",https://www.lostart.de/en/Verlust/461371,
2020,study of a group of figures,,"Reinhart, Johann Christian Title study of a group of figures Object type Drawing Group of reported objects Graphic Material / Technique pen & ink / drawn;Height 31.00 cm;Width 19.50 cm;Description;double-sided, signed “C. Reinhart inv. 1782”;Read more;Read less;Provenance;Collection Dr. Michael Berolzheimer, Garmisch-Partenkirchen, 9-10 March 1939 Auktion Adolf Weinmüller, Munich;2020 restitution;Read more;Read less;Verlustgeschichte München, 1939;Status;restituted;Published since 09.01.2013",,pen & ink / drawn,31.00 cm,"Collection Dr. Michael Berolzheimer, Garmisch-Partenkirchen, 9-10 March 1939 Auktion Adolf Weinmüller, Munich;2020 restitution;Read more;Read less","München, 1939",restituted,09.01.2013,HCPO Holocaust Claims Processing Office claimsques@dfs.ny.gov,"Berolzheimer, Dr. Michael",https://www.lostart.de/en/Verlust/461371,
2013,5 women with children,LA423428_51699.jpg,"Procaccini, Camillo;Birth 1551? / 1561?, Bologna;Death 1629.08.21, Mailand;Place of activity Genua",,drawn,20.50 cm,"Sammlung Dr. Michael Berolzheimer, Garmisch-Partenkirchen, 1939 Auktion Adolf Weinmüller, München, 2013 restitution;Read more;Read less","München, 1939",restituted,09.01.2013,HCPO Holocaust Claims Processing Office claimsques@dfs.ny.gov,"Berolzheimer, Dr. Michael",https://www.lostart.de/en/Verlust/461362,
,Selbstbildnis,LA439027_54758.jpg,"Berretz, Gerhard Title Selbstbildnis Datierung 1942 Object type Watercolour Group of reported objects Graphic Material / Technique Watercolour: paper / drawn (watercolour);Height 37.00 cm;Width 29.00 cm;Description;signed: ""Berretz 42"";Read more;Read less;Provenance;Familie Berretz, Köln, Verlust nach 1942 (zur Ausstellung in einem Berliner Museum, von dort nicht zurückerlangt), möglicherweise verbrannt, seit Kriegsende verschollen;Read more;Read less;Status;restituted;Published since 02.06.2014;Contact;Please contact the German Lost Art Foundation.",1942,Watercolour: paper / drawn (watercolour),37.00 cm,"Familie Berretz, Köln, Verlust nach 1942 (zur Ausstellung in einem Berliner Museum, von dort nicht zurückerlangt), möglicherweise verbrannt, seit Kriegsende verschollen;Read more;Read less",,restituted,02.06.2014,Please contact the German Lost Art Foundation.,"Berretz, Gerd",https://www.lostart.de/en/Verlust/519084,
,Nach der Schlacht von Wisma,LA439028_54759.jpg,"Berretz, Gerhard Title Nach der Schlacht von Wisma Datierung 1942 Object type Watercolour Group of reported objects Graphic Material / Technique Watercolour: paper / drawn (watercolour);Height 37.00 cm;Width 29.00 cm;Description;signed: ""Berretz 42"";Read more;Read less;Provenance;Familie Berretz, Köln, Verlust nach 1942 (zur Ausstellung in einem Berliner Museum, von dort nicht zurückerlangt), möglicherweise verbrannt, seit Kriegsende verschollen;Read more;Read less;Status;restituted;Published since 02.06.2014;Contact;Please contact the German Lost Art Foundation.",1942,Watercolour: paper / drawn (watercolour),37.00 cm,"Familie Berretz, Köln, Verlust nach 1942 (zur Ausstellung in einem Berliner Museum, von dort nicht zurückerlangt), möglicherweise verbrannt, seit Kriegsende verschollen;Read more;Read less",,restituted,02.06.2014,Please contact the German Lost Art Foundation.,"Berretz, Gerd",https://www.lostart.de/en/Verlust/519085,
,Nahkampf,LA439032_54763.jpg,"Berretz, Gerhard Title Nahkampf Datierung 1942 Object type Watercolour Group of reported objects Graphic Material / Technique Watercolour: paper / drawn (watercolour);Height 37.00 cm;Width 29.00 cm;Description;signed: ""Berretz 42"";Read more;Read less;Provenance;Familie Berretz, Köln, Verlust nach 1942 (zur Ausstellung in einem Berliner Museum, von dort nicht zurückerlangt), möglicherweise verbrannt, seit Kriegsende verschollen;Read more;Read less;Status;restituted;Published since 02.06.2014;Contact;Please contact the German Lost Art Foundation.",1942,Watercolour: paper / drawn (watercolour),37.00 cm,"Familie Berretz, Köln, Verlust nach 1942 (zur Ausstellung in einem Berliner Museum, von dort nicht zurückerlangt), möglicherweise verbrannt, seit Kriegsende verschollen;Read more;Read less",,restituted,02.06.2014,Please contact the German Lost Art Foundation.,"Berretz, Gerd",https://www.lostart.de/en/Verlust/519090,
,Verwundete werden geborgen,LA439037_54768.jpg,"Berretz, Gerhard Title Verwundete werden geborgen Datierung 1942 Object type Watercolour Group of reported objects Graphic Material / Technique Watercolour: paper / drawn (watercolour);Height 37.00 cm;Width 29.00 cm;Description;signed: ""Berretz 42"";Read more;Read less;Provenance;Familie Berretz, Köln, Verlust nach 1942 (zur Ausstellung in einem Berliner Museum, von dort nicht zurückerlangt), möglicherweise verbrannt, seit Kriegsende verschollen;Read more;Read less;Status;restituted;Published since 02.06.2014;Contact;Please contact the German Lost Art Foundation.",1942,Watercolour: paper / drawn (watercolour),37.00 cm,"Familie Berretz, Köln, Verlust nach 1942 (zur Ausstellung in einem Berliner Museum, von dort nicht zurückerlangt), möglicherweise verbrannt, seit Kriegsende verschollen;Read more;Read less",,restituted,02.06.2014,Please contact the German Lost Art Foundation.,"Berretz, Gerd",https://www.lostart.de/en/Verlust/519095,
